title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Intrusion,MOVIE,2021,,92,thriller,['US'],,16272.0,113.423,5.800000000000001
A Man for The Weekend,MOVIE,2017,,94,romance,['CM'],,13.0,1.036,3.65
Black Crab,MOVIE,2022,,114,scifi,['SE'],,19159.0,207.948,6.135
Private Network: Who Killed Manuel Buendía?,MOVIE,2021,,100,history,['MX'],,224.0,2.804,7.1850000000000005
Fatherhood,MOVIE,2021,PG-13,109,drama,"['CA', 'US']",,34661.0,88.619,7.22
Deep,MOVIE,2021,,101,scifi,['TH'],,1441.0,70.521,5.78
Zero to Hero,MOVIE,2021,,103,drama,['HK'],,842.0,4.779,7.18
The Seven Deadly Sins: Cursed by Light,MOVIE,2021,PG-13,79,animation,['JP'],,970.0,470.787,7.255
BLACKPINK: The Movie,MOVIE,2021,PG,99,documentation,['KR'],,1009.0,28.237,7.46
Last Summer,MOVIE,2021,,101,drama,['TR'],,2878.0,33.733,6.305
"LSD: Love, Sex aur Dhokha",MOVIE,2010,PG-13,108,drama,['IN'],,5684.0,3.126,6.845000000000001
Super Monsters: Once Upon a Rhyme,MOVIE,2021,,25,animation,[],,38.0,53.762,6.135
Diana: The Musical,MOVIE,2021,PG-13,117,history,['US'],,1266.0,5.117,5.345000000000001
Pharma Bro,MOVIE,2021,,85,documentation,"['CA', 'US']",,524.0,3.811,5.43
Venus as a Boy,MOVIE,2021,R,104,romance,['US'],,147.0,3.938,3.9
The Sea Beast,MOVIE,2022,PG,115,comedy,['US'],,18852.0,1723.363,7.4853000000000005
Tughlaq Durbar,MOVIE,2021,,145,drama,['IN'],,1605.0,2.386,6.305000000000001
Deranged,MOVIE,2017,,99,thriller,[],,14.0,0.936,3.2
Bartkowiak,MOVIE,2021,,91,action,['PL'],,1205.0,62.624,5.84
Emicida AmarElo Live in Sao Paulo,MOVIE,2021,,99,documentation,['BR'],,44.0,1.88,8.71
D.O.D.: Day of Destiny,MOVIE,2021,,110,scifi,['NG'],,42.0,2.664,5.0
Finding Hubby,MOVIE,2020,,104,comedy,['NG'],,,1.597,3.7
Bankrolled,MOVIE,2021,,97,comedy,['MX'],,312.0,20.242,5.155
Crime Story,MOVIE,2021,R,98,thriller,['US'],,595.0,4.733,4.33
Black Island,MOVIE,2021,,105,thriller,['DE'],,2788.0,62.875,5.800000000000001
Blasted,MOVIE,2022,,114,action,['NO'],,1528.0,41.268,5.285
Motu Patlu in the City of Gold,MOVIE,2018,G,77,,[],,,2.089,
Awon Boyz,MOVIE,2019,,39,documentation,['NG'],,,0.65,
