title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm,description_ari,description_word_count,description_character_count,title_ari,title_word_count,title_character_count,description_sentiment,title_sentiment,top_one_genre
Country Queen,SHOW,"When an invasive mining company threatens the existence of her village, a city girl caught between two worlds must return home, overcome her painful past to save the village and find herself in the process.",2022,TV-MA,60,['drama'],['KE'],1,,,12.067,5.77,['drama'],1.0,1.0,5.77,,0.7665544751910898,0.999510307177774,0.5541555495975059,19.2,38,206,7.8,2,13,-0.5993996225297451,0.3387640230357647,drama
Things Heard & Seen,MOVIE,"Catherine Clare reluctantly trades life in 1980 Manhattan for a remote home in the tiny hamlet of Chosen, New York, after her husband George lands a job teaching art history at a small Hudson Valley college. Even as she does her best to transform the old dairy farm into a place where young daughter Franny will be happy, Catherine increasingly finds herself isolated and alone. She soon comes to sense a sinister darkness lurking both in the walls of the ramshackle property—and in her marriage to George.",2021,,121,"['drama', 'horror', 'thriller']",['US'],,5.3,30703,14.718,6.22,"['drama', 'horror']",3.0,1.0,5.76,-0.9199999999999999,0.8135249366538991,0.5545224005796812,0.4097922497699579,15.8,93,506,5.2,4,19,-0.38162968307733536,-0.048782967031002045,drama
Vivo,MOVIE,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,2021,PG,103,"['animation', 'comedy', 'drama', 'family']",['US'],,6.7,18238,101.83,7.75,"['comedy', 'family']",4.0,1.0,7.225,-1.0499999999999998,0.7501723544504556,0.5545224005796812,0.8229586844472108,12.4,26,137,-2.2,1,4,0.7362398954574019,0.08988505601882935,animation
Is It Cake?,SHOW,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",2022,TV-PG,39,['reality'],['US'],1,5.7,2411,3.846,7.839999999999999,['reality'],1.0,1.0,6.77,-2.139999999999999,0.9555180933659505,0.5545224005796812,0.6121902526032557,17.0,24,149,-5.9,4,11,0.6393801737576723,-0.01460006833076477,reality
The Girl from Oslo,SHOW,"Pia and two Israelis are kidnapped by IS terrorists in the Sinai desert, and threatened with death if twelve IS prisoners are not released.",2021,,33,"['drama', 'thriller']",['NO'],1,6.3,3141,9.423,7.57,"['drama', 'thriller']",2.0,1.0,6.9350000000000005,-1.2700000000000005,0.7739429126779911,0.9962493063391393,0.5013732874873452,13.3,26,139,-1.9,4,18,-0.9296420507598668,0.02827521041035652,drama
The Way of the Househusband,SHOW,"Tatsu, a notorious and feared yakuza leader nicknamed ""The Immortal Dragon,"" withdraws from the criminal syndicate and becomes a housekeeper to help his wife, Miku. The series features a variety of comedic settings, typically showing Tatsu's domestic activities and intimidating inequality with his looks, as well as multiple encounters with his former colleagues and rivals in the Japanese Criminal Syndicate.",2021,TV-MA,18,"['action', 'animation', 'comedy', 'crime', 'drama', 'romance']",['JP'],1,7.3,3724,20.159,8.7319,"['animation', 'comedy']",6.0,1.0,8.01595,-1.4318999999999997,0.6899246928234216,0.9276483709208561,0.27206710620786834,21.1,70,410,2.7,5,27,-0.08348063006997108,-0.032934412360191345,action
Twenty Five Twenty One,SHOW,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022,TV-14,76,"['drama', 'romance']",['KR'],1,8.7,5746,57.97,8.739999999999998,"['drama', 'romance']",2.0,1.0,8.719999999999999,-0.03999999999999915,0.7809468902141508,0.9686905083549058,0.2720671061178577,11.9,47,252,2.9,4,22,0.6071374490857124,0.003887861967086792,drama
The Billion Dollar Code,SHOW,"In 1990s Berlin, an artist and a hacker invented a new way to see the world. Years later, they reunite to sue Google for patent infringement on it.",2021,TV-MA,67,"['crime', 'drama', 'thriller']",['DE'],1,8.0,8164,11.997,8.379999999999999,"['crime', 'drama']",3.0,1.0,8.19,-0.379999999999999,0.7679725144819248,0.9802604311655668,0.501373287057468,5.8,32,147,4.1,4,23,-0.07519711554050446,-0.06616317480802536,crime
My Little Pony: A New Generation,MOVIE,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021,PG,91,"['action', 'animation', 'comedy', 'drama', 'family', 'fantasy', 'music', 'scifi']","['CA', 'IE', 'US']",,6.8,3657,88.17,8.2,"['action', 'music']",8.0,3.0,7.5,-1.3999999999999995,0.7474326894522675,0.8817427647176005,0.27206710833733305,15.9,33,153,2.8,7,32,0.6279579475522041,0.2790085175074637,action
Fistful of Vengeance,MOVIE,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022,R,94,"['action', 'crime', 'drama', 'fantasy']",['US'],,4.4,6341,211.567,5.86,"['action', 'fantasy']",4.0,1.0,5.130000000000001,-1.46,0.7815628450783305,0.5545224005796812,0.55415555097657,12.8,24,133,8.3,3,20,-0.16396411880850792,-0.3542610500007868,action
