title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
How I Met Your Mother,2005,TV-14,24,['US'],9.0,8.3,661972.0,153.898,"['comedy', 'romance']",8.34
Firefly,2002,TV-14,47,['US'],1.0,9.0,259849.0,28.461,"['drama', 'scifi']",8.735
Bones,2005,TV-14,47,['US'],12.0,7.8,154044.0,282.433,"['drama', 'romance']",8.135
Scrubs,2001,TV-14,24,['US'],9.0,8.4,251172.0,73.23,"['comedy', 'drama']",8.3
Sons of Anarchy,2008,TV-MA,55,['US'],7.0,8.6,287886.0,104.827,"['drama', 'thriller']",8.58
Criminal Minds,2005,TV-14,44,['US'],15.0,8.1,189191.0,401.416,"['crime', 'thriller']",8.285
Party Down,2009,TV-MA,28,['US'],2.0,8.3,30771.0,14.634,"['comedy', 'drama']",8.07
The Amazing Race,2001,TV-PG,48,['US'],33.0,7.8,14394.0,34.856,"['family', 'reality']",7.415
The Office,2001,TV-MA,32,['GB'],3.0,8.5,109600.0,17.899,"['comedy', 'drama']",8.305
Top Chef,2006,TV-14,46,['US'],19.0,7.6,6111.0,39.458,['reality'],7.314999999999999
Blue Bloods,2010,TV-14,42,['US'],12.0,7.7,38609.0,114.862,"['drama', 'thriller']",7.77
Archer,2009,TV-MA,22,['US'],12.0,8.6,150727.0,95.881,"['action', 'comedy']",8.355
Castle,2009,TV-14,45,['US'],8.0,8.1,158696.0,230.674,"['crime', 'drama']",8.149999999999999
24,2001,TV-14,44,['US'],9.0,8.4,183219.0,70.045,"['action', 'crime']",8.21
Fullmetal Alchemist: Brotherhood,2009,TV-14,29,['JP'],1.0,9.1,156503.0,110.534,"['action', 'scifi']",8.965
Burn Notice,2007,TV-PG,43,['US'],7.0,8.0,73085.0,18.468,"['action', 'drama']",7.875
Shark Tank,2009,TV-PG,43,['US'],13.0,7.7,9516.0,38.821,"['family', 'reality']",7.41
Stargate Atlantis,2004,TV-PG,44,"['CA', 'US']",5.0,8.1,65735.0,45.333,"['action', 'scifi']",8.149999999999999
Murdoch Mysteries,2008,TV-PG,45,['CA'],15.0,8.4,167.0,73.046,"['drama', 'thriller']",8.165
The Shield,2002,TV-MA,59,['US'],7.0,8.7,79028.0,22.204,"['action', 'crime']",8.495
Naruto Shippūden,2007,TV-14,23,['JP'],24.0,8.7,115863.0,350.688,"['action', 'scifi']",8.719999999999999
Doc Martin,2004,TV-14,47,['GB'],10.0,8.4,15419.0,16.7,"['comedy', 'drama']",8.39
Project Runway,2004,TV-PG,56,['US'],19.0,7.4,10950.0,17.003,['reality'],6.945
Alias,2001,TV-14,44,['US'],5.0,7.6,49720.0,6.629,"['action', 'crime']",7.27
Luther,2010,TV-MA,57,['GB'],5.0,8.4,133503.0,24.293,"['crime', 'drama']",8.255
Adventure Time,2010,TV-PG,13,['US'],10.0,8.6,89941.0,138.918,"['fantasy', 'scifi']",8.58
Smallville,2001,TV-PG,43,['US'],10.0,7.5,125035.0,175.728,"['action', 'drama']",7.985
White Collar,2009,TV-PG,44,['US'],6.0,8.3,128620.0,80.321,"['comedy', 'crime']",8.385000000000002
My Name Is Earl,2005,TV-14,23,['US'],4.0,7.8,101702.0,34.546,['comedy'],7.91
