title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
The Unjust,MOVIE,2010,,119,thriller,['KR'],,2217,5.963,6.68
Ride the Eagle,MOVIE,2021,,89,drama,['US'],,2171,4.139,6.805000000000001
Operation Mincemeat,MOVIE,2022,PG-13,128,drama,"['GB', 'US']",,18893,44.29,6.8149999999999995
One Lagos Night,MOVIE,2021,,103,crime,['NG'],,17,1.834,6.6
Let Us In,MOVIE,2021,,84,scifi,['US'],,526,4.894,4.67
Headspace Unwind you Mind,MOVIE,2021,G,15,animation,['US'],,132,6.434,7.34
A Classic Horror Story,MOVIE,2021,,95,horror,['IT'],,,62.411,6.3100000000000005
Interceptor,MOVIE,2022,PG-13,98,thriller,['AU'],,20007,438.512,5.5085
Clash,MOVIE,2021,,88,family,"['CA', 'NG']",,34,1.253,6.1
The House of Flowers: The Movie,MOVIE,2021,R,86,drama,['MX'],,851,34.004,6.85
Blue Miracle,MOVIE,2021,,95,family,"['MX', 'US']",,6778,17.953,7.22
Trippin’ with the Kandasamys,MOVIE,2021,,93,romance,['ZA'],,376,17.846,6.01
The Trip,MOVIE,2021,,114,action,['NO'],,20921,65.274,6.965
The Vault,MOVIE,2021,R,118,crime,['ES'],,21511,22.456,6.355
Hypnotic,MOVIE,2021,,88,thriller,['CA'],,15690,71.857,5.904450000000001
Kate,MOVIE,2021,R,106,action,"['JP', 'TH', 'US']",,59480,64.19,6.615
Myriam Fares: The Journey,MOVIE,2021,,72,documentation,['LB'],,167,1.487,2.3
Vacation Friends,MOVIE,2021,R,103,comedy,['US'],,20504,129.859,6.890000000000001
The Phantom,MOVIE,2021,,81,documentation,"['GB', 'US']",,759,3.462,6.495
The Year of the Everlasting Storm,MOVIE,2021,,115,drama,"['CL', 'CN', 'IR', 'TH', 'US']",,206,2.934,6.369999999999999
Alan Saldaña: Locked Up,MOVIE,2021,,49,comedy,[],,,6.67,6.4
Trees of Peace,MOVIE,2021,NC-17,97,drama,['US'],,1104,118.558,6.985
