title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm
JJ+E,MOVIE,"Elisabeth and John-John live in the same city, but they inhabit different worlds.",2021,,90,"['drama', 'romance']",['SE'],,5.3,1724,31.532,5.86,"['drama', 'romance']",2.0,1.0,5.58,-0.5600000000000005,0.7809468902141508,0.9947230532698108,0.7460319342469554
The Hand of God: Through the Eyes of Sorrentino,MOVIE,"Director Paolo Sorrentino returns to Naples, his hometown, and reflects on his youth in an exclusive tour of the locations of “The Hand of God”.",2021,,8,['documentation'],['IT'],,7.1,10,2.118,6.76,['documentation'],1.0,1.0,6.93,0.33999999999999986,0.8829181764295086,0.9891755479169907,0.06758163971999542
Prime Time,MOVIE,"On the last day of 1999, 20-year-old Sebastian locks himself in a TV studio. He has two hostages, a gun, and an important message for the world. The story of the attack explores a rebel’s extreme measures and last resort.",2021,R,93,"['drama', 'thriller']",['PL'],,5.2,1796,19.187,5.59,"['drama', 'thriller']",2.0,1.0,5.395,-0.3899999999999997,0.7739429126779911,0.9942432312170016,0.6759702638169831
Caught by a Wave,MOVIE,A summer fling born under the Sicilian sun quickly develops into a heartbreaking love story that forces a boy and girl to grow up too quickly.,2021,,99,"['drama', 'romance', 'sport']",['IT'],,5.7,1289,24.706,7.03,"['drama', 'romance']",3.0,1.0,6.365,-1.33,0.8544059627849127,0.9891755479169907,0.5013732873001239
Honey Girls,MOVIE,"Mega pop star, Fancy G, hosts a contest to find the next big solo artist. But the young contestants realize they are ""better together"" and secretly form a band called Honey Girls and become a huge hit cloaked in mystery.",2021,PG,90,"['comedy', 'family', 'music']",['US'],,4.7,173,4.527,5.59,"['family', 'music']",3.0,1.0,5.145,-0.8899999999999997,0.8572033516918733,0.5545224005796812,0.6759702645226311
Mishan Impossible,MOVIE,Three little kids from Vadamalapeta want to hunt down Dawood Ibrahim and claim prize money. An investigative reporter and her sidekicks want to bring down a child trafficking nexus. How does this motley crew cross paths?,2022,,129,"['action', 'comedy', 'drama', 'thriller']",['IN'],,6.8,691,2.884,7.4799999999999995,"['comedy', 'thriller']",4.0,1.0,7.14,-0.6799999999999997,0.6869913245277239,0.9216856422869464,0.6759702640135661
The New Adventures of Oggy,SHOW,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures.,2021,TV-Y,22,"['action', 'animation', 'comedy', 'family']",['US'],1,6.6,40,3.219,,"['comedy', 'family']",4.0,1.0,6.6,,0.7898511186170518,0.5545224005796812,0.30164126254020646
Spoiled Brats,MOVIE,"A millionaire wants to help his spoiled children be better people, so he tricks them and pretends that the family lost the fortune on which the entitled young people had relied.",2021,,95,['comedy'],['FR'],,6.1,5688,74.388,6.67,['comedy'],1.0,1.0,6.385,-0.5700000000000003,0.7743576575786824,0.9695844725650858,0.5541555479813032
Jiva!,SHOW,"A talented street dancer from Umlazi, Durban must confront her fears and deal with family objections to pursue her dancing dreams.",2021,TV-MA,41,['drama'],['ZA'],1,5.5,267,13.142,8.02,['drama'],1.0,1.0,6.76,-2.5199999999999996,0.7665544751910898,0.9936013960219393,0.746031934245874
So Not Worth It,SHOW,"New friends, new loves and new experiences mix together inside a colorful college dormitory in Korea that's home to students from around the world.",2021,,32,"['comedy', 'drama']",['KR'],1,,,24.656,8.2,"['comedy', 'drama']",2.0,1.0,8.2,,0.676586758987894,0.9686905083549058,0.5013732892485152
Uppena,MOVIE,Aasi has been in love with Bebamma since their childhood. But it is more than her father Rayanam that threatens to form a chasm between the lovers.,2021,,147,['drama'],['IN'],,,,4.709,6.67,['drama'],1.0,1.0,6.67,,0.7665544751910898,0.9216856422869464,0.74603193378853
Xtreme,MOVIE,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",2021,,111,"['action', 'crime', 'drama', 'fantasy', 'thriller']",['ES'],,5.8,4351,31.451,6.9399999999999995,"['action', 'crime']",5.0,1.0,6.369999999999999,-1.1399999999999997,0.752421124991285,0.9738945956460092,0.822958682672537
Metal Shop Masters,SHOW,"A group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",2021,TV-MA,33,['reality'],['US'],1,5.7,561,2.822,6.67,['reality'],1.0,1.0,6.1850000000000005,-0.9699999999999998,0.9555180933659505,0.5545224005796812,0.45339074521274536
Your Life is a Joke,SHOW,Comedian Oliver Polak gets to know celebrities at some of their favorite spots before roasting them with good-natured stand-up sets.,2021,TV-MA,37,"['comedy', 'documentation']",['DE'],1,5.4,87,0.76,3.7,"['comedy', 'documentation']",2.0,1.0,4.550000000000001,1.7000000000000002,0.7773926129874297,0.9802604311655668,0.453390746089006
The Four of Us,MOVIE,"After their partner swap experiment takes a turn, four friends arrive at a remote beach hut to face the fallout and purge themselves of deeper truths.",2021,,88,"['comedy', 'drama', 'romance']",['DE'],,5.3,1036,15.115,5.95,"['drama', 'romance']",3.0,1.0,5.625,-0.6500000000000004,0.6961172323212071,0.9802604311655668,0.7460319337985714
Light the Night,SHOW,"Taking the hotel on Linsen North Road in Taiwan as the background, it is a realistic drama that describes the love and hatred between the Japanese-style hotel proprietress and Yang Jin Hua in 1988 and a group of amorous ladies under her.",2021,TV-MA,59,"['crime', 'drama', 'thriller']",['TW'],3,7.4,1054,17.328,9.010000000000002,"['crime', 'drama']",3.0,1.0,8.205000000000002,-1.6100000000000012,0.7679725144819248,0.9919903435176843,0.6121902532860207
Latte and the Magic Waterstone,MOVIE,"When a greedy bear steals a magic stone to keep the forest’s water for himself, a brave hedgehog and a timid squirrel must work together to retrieve it.",2022,,82,"['animation', 'comedy', 'european', 'family']","['BE', 'DE']",,5.6,955,33.97,6.76,"['animation', 'comedy']",4.0,2.0,6.18,-1.1600000000000001,0.82015409802547,0.9819570516486482,0.2720671056173758
Thalaivii,MOVIE,"The biopic charts the life of actor-turned-chief minister J. Jayalalitha and the relationship paving her rapid yet complicated path to power, who served five terms as the Chief Minister for the Indian state of Tamil Nadu.",2021,G,153,['drama'],['IN'],,5.9,30621,2.301,5.5,['drama'],1.0,1.0,5.7,0.40000000000000036,0.7665544751910898,0.9216856422869464,0.612190253102398
The Fame Game,SHOW,"When India's most famous actress goes missing, the search for her chips away at the flawless facade of her life and family, revealing painful truths.",2022,,44,['drama'],['IN'],1,,,3.551,7.3,['drama'],1.0,1.0,7.3,,0.7665544751910898,0.9216856422869464,0.6121902520805679
Squared Love,MOVIE,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,2021,,102,"['comedy', 'romance']",['PL'],,5.1,3158,14.92,6.49,"['comedy', 'romance']",2.0,1.0,5.795,-1.3900000000000006,0.7767652088457677,0.9942432312170016,0.6121902502705169
Why Did You Kill Me?,MOVIE,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,2021,R,83,"['crime', 'documentation']",['US'],,5.6,4175,14.666,6.58,"['crime', 'documentation']",2.0,1.0,6.09,-0.9800000000000004,0.8476605778130256,0.5545224005796812,0.4533907440098127
Security,MOVIE,"After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies.",2021,,118,['thriller'],['IT'],,4.9,1989,25.561,6.130000000000001,['thriller'],1.0,1.0,5.515000000000001,-1.2300000000000004,0.883051775271205,0.9891755479169907,0.999999998644178
Motel Makeover,SHOW,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",2021,,30,['reality'],['CA'],1,4.9,720,1.425,5.5,['reality'],1.0,1.0,5.2,-0.5999999999999996,0.9555180933659505,0.9632214406888344,0.4533907455899913
Nail Bomber: Manhunt,MOVIE,"This documentary examines the 1999 London bombings that targeted Black, Bangladeshi and gay communities, and the race to find the far-right perpetrator. He terrorized a city, seeking to ignite a race war but justice was served by those who wouldn't let his hate win.",2021,,72,"['crime', 'documentation', 'history']",['GB'],,6.3,2142,9.516,6.9399999999999995,"['crime', 'history']",3.0,1.0,6.619999999999999,-0.6399999999999997,0.8708745700001063,0.9307862760908432,0.30164126249676937
